,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Roger Sabon
Châteauneuf-du-Pape Le Secret Des Sabon 2020",2020,$250,78.0466%;,39.5604%;,16.5691%;,46.7192%;
1,"E. Guigal
Ermitage Ex-Voto 2018",2018,$500,82.7338%;,69.9444%;,13.4667%;,56.4577%;
2,"Stéphane Usseglio
Fragments Châteauneuf du Pape 2018",2018,$75,85%;,39.8291%;,0px;,44.3797%;
3,"Paul Jaboulet Aîné
Hermitage La Petite Chapelle 2014",2014,$300,85%;,67.2871%;,11.9874%;,53.9848%;
4,"E. Guigal
Côte-Rôtie La Mouline 2018",2018,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;
5,"E. Guigal
Côte-Rôtie La Turque 2018",2018,$501.50,69.941%;,66.4626%;,10.2517%;,64.435%;
6,"M. Chapoutier
Ermitage l'Ermite 2011",2011,$905.09,81.8494%;,69.2983%;,10.3532%;,56.2876%;
7,"Domaine Jean-Louis Chave
Clos Florentin 2015",2015,$399.99,75.4618%;,52.5616%;,12.5493%;,54.532%;
8,"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2005",2005,$998,83.3728%;,39.9899%;,11.8831%;,45.2795%;
9,"Domaine Jean-Louis Chave
L'Hermitage 2014",2014,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;
10,"E. Guigal
Côte-Rôtie La Landonne 2015",2015,$922,74.4159%;,70.7091%;,9.99265%;,64.9285%;
11,"Domaine Jean-Louis Chave
L'Hermitage 2018",2018,$549.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
12,"Domaine Jean-Louis Chave
L'Hermitage 2020",2020,$499.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
13,"E. Guigal
Côte-Rôtie La Landonne 2019",2019,$501.50,74.4159%;,70.7091%;,9.99265%;,64.9285%;
14,"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2015",2015,$530.95,85%;,40.5755%;,11.5164%;,44.3917%;
15,"E. Guigal
Côte-Rôtie La Mouline 2019",2019,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;
16,"E. Guigal
Ermitage Ex-Voto 2010",2010,$395.95,82.7338%;,69.9444%;,13.4667%;,56.4577%;
17,"E. Guigal
Côte-Rôtie La Mouline 1986",1986,$419.99,66.6169%;,64.1945%;,10.2499%;,64.353%;
18,"E. Guigal
Côte-Rôtie La Turque 1998",1998,$866.24,69.941%;,66.4626%;,10.2517%;,64.435%;
19,"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2020",2020,$597.44,83.3728%;,39.9899%;,11.8831%;,45.2795%;
20,"E. Guigal
Côte-Rôtie La Turque 2017",2017,$438.59,69.941%;,66.4626%;,10.2517%;,64.435%;
21,"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2020",2020,$439.99,85%;,40.9855%;,19.5418%;,44.77%;
22,"E. Guigal
Côte-Rôtie La Turque 2016",2016,$627,69.941%;,66.4626%;,10.2517%;,64.435%;
23,"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2017",2017,$690,83.3728%;,39.9899%;,11.8831%;,45.2795%;
24,"Domaine Jean-Louis Chave
L'Hermitage 2012",2012,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;
25,"E. Guigal
Côte-Rôtie La Mouline 2012",2012,$543,66.6169%;,64.1945%;,10.2499%;,64.353%;
26,"Henri Bonneau
Chateauneuf-du-Pape Réserve des Célestins 2009",2009,$790,79.5764%;,42.9762%;,17.9771%;,45.7554%;
27,"Jean-Michel Gerin
La Landonne Côte-Rôtie 2016",2016,$416,68.4601%;,59.1367%;,13.7056%;,66.4986%;
28,"Paul Autard
Juline Châteauneuf-du-Pape 2019",2019,$74.94,81.6464%;,42.0528%;,15.4206%;,41.7612%;
29,"Jean-Michel Gerin
Les Grandes Places Côte-Rôtie 2018",2018,$149.94,73.1031%;,63.6177%;,17.1175%;,63.7115%;
30,"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2020",2020,$459,85%;,40.5755%;,11.5164%;,44.3917%;
31,"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2017",2017,$560.50,85%;,40.5755%;,11.5164%;,44.3917%;
32,"Thierry Allemand
Cornas 'Reynard' 2019",2019,$530.95,80.3692%;,55.9627%;,5.56121%;,58.1666%;
33,"Domaine Jean-Louis Chave
Clos Florentin 2018",2018,$234.82,75.4618%;,52.5616%;,12.5493%;,54.532%;
34,"Domaine de Marcoux
Châteauneuf-du-Pape Vieilles Vignes 2019",2019,$200.55,83.5092%;,46.2699%;,18.4849%;,45.7734%;
