,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Clos Saint Jean
Chateauneuf-du-Pape La Combe Des Fous 2020",2020,$119.94,85%;,43.9023%;,16.0564%;,44.2861%;
1,"Domaine de la Vieille Julienne
Réservé Châteauneuf-du-Pape 2018",2018,$274.99,83.7002%;,41.2905%;,24.6458%;,45.3475%;
2,"Ogier
Clos de l'Oratoire des Papes Les Chorégies Châteauneuf-du-Pape 2019",2019,$142.99,77.0282%;,40.9164%;,8.77221%;,45.2242%;
3,"Delas
La Landonne Côte-Rôtie 2019",2019,$284.99,68.1933%;,66.917%;,14.8564%;,66.3782%;
4,"Domaine du Vieux Télégraphe
Châteauneuf-du-Pape (La Crau) 2019",2019,$99.99,82.4248%;,40.3363%;,8.72567%;,45.219%;
5,"Château La Nerthe
Châteauneuf-du-Pape 2020",2020,$84.99,83.2776%;,37.7941%;,7.91678%;,45.1038%;
6,"Domaine de la Vieille Julienne
Réservé Châteauneuf-du-Pape 2016",2016,$300,83.7002%;,41.2905%;,24.6458%;,45.3475%;
7,"Domaine Bois de Boursan
Cuvée des Felix Châteauneuf-du-Pape 2010",2010,$200,85%;,50.7418%;,4.39716%;,48.4381%;
8,"Château La Nerthe
Les Clavelles Châteauneuf du Pape 2015",2015,$271.35,66.5715%;,34.0026%;,11.7088%;,52.3918%;
9,"Domaine de La Chapelle
Hermitage La Chapelle Rouge 1991",1991,$649,83.1154%;,67.4268%;,9.73907%;,54.61%;
10,"Domaine Jean-Louis Chave
Saint-Joseph 2021",2021,$112.10,72.4663%;,49.3389%;,7.53913%;,55.1467%;
11,"E. Guigal
Saint-Joseph Vignes de L'Hospice 2019",2019,$105.02,75.2537%;,50.7448%;,9.77772%;,54.6425%;
12,"La Boutinière
Vieilles Vignes La Crau Grand Réserve Châteauneuf-du-Pape 2018",2018,$54.95,72.5%;,28.5%;,2.5%;,47.5%;
13,"M. Chapoutier
Côte-Rôtie La Mordorée 2011",2011,$379.95,69.3427%;,66.1683%;,5.99777%;,64.7653%;
14,"M. Chapoutier
Côte-Rôtie La Mordorée 2015",2015,$153.95,69.3427%;,66.1683%;,5.99777%;,64.7653%;
15,"Michel & Stéphane Ogier
La Belle Hélène Côte-Rôtie 2017",2017,$625.79,71.3621%;,71.4033%;,8.59553%;,63.3428%;
